city,country,macro_region,swap_fraction,n_replicates_total,n_replicates_pass,n_replicates_fail,n_nodes,n_edges,pc_cebh,pc_road,road_gap,pc_geometry_null_mean,geometry_null_gap_mean,road_minus_geometry_mean,geometry_fraction_of_road_gap_mean,remaining_fraction_after_geometry_mean,accepted_swaps_per_edge_mean,acceptance_rate_mean,length_bin_tvd_mean,degree_max_abs_drift_max,threshold_boundary_hits,null_mobility_index_mean,runtime_seconds_mean,pc_spatial_null,spatial_null_gap,road_minus_spatial,remaining_fraction_after_spatial,geometry_vs_spatial_residual_change
Hanoi,Vietnam,Asia,0.01,3,3,0,29320,39886,0.4889668023341342,0.75,0.2610331976658657,0.7083333333333334,0.21936653099919903,0.041666666666666664,0.840377901970914,0.15962209802908633,0.01000351000351,0.0020141202057015997,0.0,0,0,0.004631371064206567,13.545248826344809,0.6,0.1110331976658657,0.15,0.5746395529047107,-0.10833333333333334
Hanoi,Vietnam,Asia,0.02,3,3,0,29320,39886,0.4889668023341342,0.75,0.2610331976658657,0.7166666666666667,0.2276998643325324,0.03333333333333333,0.8723023215767313,0.12769767842326907,0.02000702000702,0.0019753727051102666,0.0,0,0,0.007956626867833,25.9420108795166,0.6,0.1110331976658657,0.15,0.5746395529047107,-0.11666666666666667
Ho Chi Minh City,Vietnam,Asia,0.01,3,3,0,40466,51958,0.5059497146863499,0.725,0.2190502853136501,0.75,0.24405028531365014,-0.024999999999999998,1.114129045594273,-0.11412904559427273,0.0100080834520189,0.0018592678346413666,0.0,0,0,0.005618488870235533,19.831444104512535,0.6,0.0940502853136501,0.125,0.5706452279713632,-0.15
Ho Chi Minh City,Vietnam,Asia,0.02,3,3,0,40466,51958,0.5059497146863499,0.725,0.2190502853136501,0.7416666666666667,0.23571695198031675,-0.016666666666666666,1.076086030396182,-0.0760860303961818,0.019996920589707,0.0017970918826677668,0.0,0,0,0.010574101320966001,39.030005852381386,0.6,0.0940502853136501,0.125,0.5706452279713632,-0.14166666666666666
Hong Kong,China,Asia,0.01,3,3,0,9035,13245,0.4651775366136339,0.675,0.2098224633863661,0.6333333333333333,0.16815579671969938,0.041666666666666664,0.8014194190926932,0.19858058090730682,0.0099660249150622,0.0013757323700717332,2.516672958349092e-05,0,0,0.0035801413576381663,6.15138578414917,0.6,0.134822463386366,0.075,0.3574450456331523,-0.03333333333333333
Hong Kong,China,Asia,0.02,3,3,0,9035,13245,0.4651775366136339,0.675,0.2098224633863661,0.6583333333333333,0.19315579671969943,0.016666666666666666,0.9205677676370775,0.07943223236292273,0.020007550018875,0.0015526209756877001,0.0,0,0,0.005703376936101433,10.463879823684692,0.6,0.134822463386366,0.075,0.3574450456331523,-0.058333333333333334
Hyderabad,India,Asia,0.01,3,3,0,98461,132094,0.4881558622014944,0.75,0.2618441377985055,0.75,0.2618441377985056,0.0,1.0000000000000004,0.0,0.0100004542219934,0.0016444236129133,0.0,0,0,0.005536073781641134,59.958210150400795,0.625,0.1368441377985056,0.125,0.477383229011566,-0.125
Hyderabad,India,Asia,0.02,3,3,0,98461,132094,0.4881558622014944,0.75,0.2618441377985055,0.7416666666666667,0.2535108044651723,0.008333333333333333,0.9681744513992294,0.03182554860077107,0.0200009084439868,0.0016104953020128333,0.0,0,0,0.010370031244336666,114.43166446685791,0.625,0.1368441377985056,0.125,0.477383229011566,-0.11666666666666667
Istanbul,Turkey,Middle East,0.01,3,3,0,48682,72909,0.4613033850047454,0.675,0.2136966149952546,0.6750000000000002,0.2136966149952546,0.0,1.0000000000000002,0.0,0.0099987655844957,0.0016358212074704668,0.0,0,0,0.0033071538578397335,30.681532462437946,0.575,0.1136966149952545,0.1,0.4679531306671409,-0.1
Istanbul,Turkey,Middle East,0.02,3,3,0,48682,72909,0.4613033850047454,0.675,0.2136966149952546,0.6833333333333332,0.2220299483285879,-0.0083333333333333,1.0389960942222618,-0.038996094222261565,0.0199975311689914,0.0016971818734329333,0.0,0,0,0.006165808036888099,57.13702313105265,0.575,0.1136966149952545,0.1,0.4679531306671409,-0.10833333333333331
Jakarta,Indonesia,Asia,0.01,3,3,0,50166,65445,0.512325721577254,0.7,0.1876742784227459,0.7166666666666667,0.2043409450894126,-0.016666666666666666,1.0888063447305456,-0.08880634473054512,0.0099931239972495,0.0017529182535311,0.0,0,0,0.004899443166874133,28.458483060201008,0.625,0.112674278422746,0.0749999999999999,0.3996285512874525,-0.09166666666666656
Jakarta,Indonesia,Asia,0.02,3,3,0,50166,65445,0.512325721577254,0.7,0.1876742784227459,0.7166666666666667,0.2043409450894126,-0.016666666666666666,1.0888063447305456,-0.08880634473054512,0.0200015280006112,0.0017278491840191999,0.0,0,0,0.009479878152814534,49.81118869781494,0.625,0.112674278422746,0.0749999999999999,0.3996285512874525,-0.09166666666666656
Johannesburg,South Africa,Africa,0.01,3,3,0,22312,32632,0.454250595097234,0.65,0.195749404902766,0.6750000000000002,0.22074940490276598,-0.025000000000000005,1.1277143090801132,-0.1277143090801129,0.0099901936749203,0.0025398407383556334,0.0,0,0,0.004177220587238767,9.225777784983316,0.575,0.1207494049027659,0.075,0.3831429272403387,-0.1
