city,country,macro_region,n_nodes,n_edges,mean_degree,kappa,kappa_minus_1,pc_cebh,pc_nb,pc_road_rank,road_gap_cebh,road_minus_nb,nb_minus_cebh,abs_error_cebh,abs_error_nb,nb_improvement_over_cebh,rho_nb,nb_iterations,nb_converged,runtime_seconds,status,ipr_directed,top1_directed_weight_share,top5pct_directed_weight_share,node_nb_entropy,node_nb_ipr,top1_node_weight_share,top5pct_node_weight_share
Casablanca,Morocco,Africa,36942,55764,3.019002761084944,3.174467398321498,2.174467398321498,0.4598827284198025,0.3671967085714825,0.675,0.21511727158019756,0.30780329142851753,-0.09268601984831998,0.21511727158019756,0.30780329142851753,-0.09268601984831998,2.7233359576950815,135,True,3.8160934448242188,pass,0.0049649739263783865,0.011915428742945027,0.9992255122151372,0.4582299153140148,0.015153875347628604,0.03638594877326457,0.9991025472850161
Chennai,India,Asia,42444,56880,2.6802374893977947,3.0062236286919832,2.0062236286919832,0.498448919501551,0.3984179559230881,0.725,0.22655108049844896,0.3265820440769119,-0.10003096357846292,0.22655108049844896,0.3265820440769119,-0.10003096357846292,2.5099270380099115,327,True,4.085104703903198,pass,0.002736207104728937,0.005903061585956424,0.9999593972336227,0.4821155780508783,0.008464075737272312,0.01843449649947381,0.9999603519002503
Bogota,Colombia,Latin America,40772,60476,2.9665456685960954,3.2252133077584495,2.2252133077584495,0.4493951193413192,0.3597175824046116,0.65,0.20060488065868082,0.2902824175953884,-0.0896775369367076,0.20060488065868082,0.2902824175953884,-0.0896775369367076,2.779958636759647,346,True,4.331010103225708,pass,0.0012127915722796203,0.00255629470637894,0.9996480338719538,0.5452083858415736,0.00430022929300849,0.009357507419389847,0.9997195490648216
London,United Kingdom,Europe,48353,62602,2.589373978863773,2.923133446215776,1.9231334462157759,0.5199847165924646,0.3867522978719377,0.775,0.25501528340753543,0.3882477021280623,-0.13323241872052688,0.25501528340753543,0.3882477021280623,-0.13323241872052688,2.5856342819483964,252,True,6.140475749969482,pass,0.01620596207301885,0.025815555616224842,0.999999075685533,0.3111168477401008,0.048756797750707875,0.07745362511031528,0.9999984915063731
Jakarta,Indonesia,Asia,50166,65445,2.609137662958976,2.9518832607533043,1.9518832607533043,0.512325721577254,0.38584488233460296,0.7,0.18767427842274598,0.314155117665397,-0.12648083924265102,0.18767427842274598,0.314155117665397,-0.12648083924265102,2.5917150797734423,133,True,5.683926582336426,pass,0.0033824558867043986,0.0060271328205352215,0.9999680410300684,0.4402793432124228,0.011159942477861104,0.020296817470655492,0.99996866619772
Tunis,Tunisia,Africa,46721,67495,2.8892789109822137,3.082494999629602,2.082494999629602,0.4801932298410621,0.3797013841614978,0.7,0.21980677015893785,0.32029861583850217,-0.10049184567956432,0.21980677015893785,0.32029861583850217,-0.10049184567956432,2.633648550447927,316,True,5.064130544662476,pass,0.0027853457910312737,0.005313541654112125,0.9999461585831813,0.47353372239955005,0.008910458543962928,0.018262044736310965,0.9999402740928884
Bangkok,Thailand,Asia,63366,71694,2.2628538964113245,2.75776215582894,1.75776215582894,0.5689051824695883,0.3801789933033387,0.85,0.28109481753041166,0.46982100669666127,-0.1887261891662496,0.28109481753041166,0.46982100669666127,-0.1887261891662496,2.6303399651598216,96,True,5.587737321853638,pass,0.0084575678561537,0.015099778059825101,0.999947194182987,0.36649054302883866,0.0264436002213922,0.045121925658058046,0.9999574489784178
Addis Ababa,Ethiopia,Africa,51078,72263,2.8295156427424724,3.0735092647689686,2.0735092647689686,0.482274189457948,0.3591630795797219,0.7,0.21772581054205198,0.3408369204202781,-0.1231111098782261,0.21772581054205198,0.3408369204202781,-0.1231111098782261,2.7842505448225903,640,False,6.7233567237854,pass,0.0020632836644064846,0.003669844439127695,0.9999999876842411,0.4820912380073035,0.007269593981254218,0.013159507924977413,0.9999999712308578
Istanbul,Turkey,Middle East,48682,72909,2.995316544102543,3.1677707827565866,2.1677707827565866,0.4613033850047454,0.38270023566515676,0.675,0.21369661499525466,0.2922997643348433,-0.07860314933958862,0.21369661499525466,0.2922997643348433,-0.07860314933958862,2.6130111946807086,640,False,6.638388633728027,pass,0.0035576620871565117,0.0084101666338665,0.9998691389115673,0.46544414239829146,0.01127902535624802,0.026641315737103176,0.9998615610856327
Lima,Peru,Latin America,49410,75796,3.0680429062942722,3.258179851179482,2.258179851179482,0.4428345242198864,0.35498207380319574,0.65,0.20716547578011363,0.2950179261968043,-0.08785245041669065,0.20716547578011363,0.2950179261968043,-0.08785245041669065,2.8170436588141805,640,False,6.766371965408325,pass,0.0009220435648821613,0.0020513625077234927,0.9986971250957849,0.5725080914078049,0.0032460912154841062,0.007613601401269368,0.9989461073470833
Seoul,South Korea,Asia,50914,76060,2.9877833208940565,3.2140283986326583,2.2140283986326583,0.4516653899369949,0.3710186529646871,0.675,0.22333461006300515,0.30398134703531293,-0.08064673697230779,0.22333461006300515,0.30398134703531293,-0.08064673697230779,2.695282277614161,640,False,7.199292421340942,pass,0.00421351034428277,0.007637501035337759,0.9998312118447068,0.4491625535732991,0.013900415239298856,0.0267302823249381,0.9998136162300078
