graph_cache_file,status,n_nodes,n_edges_simple,n_cross_pairs_poly,n_cross_pairs_chord,chi_poly,chi_chord,bridge_tunnel_tagged_edge_share,cross_pairs_with_tagged_edge_share,seconds,city,country,macro_region,mean_degree,pc_cebh,pc_rank,road_gap,anchor_pc,anchor_deviation,spatial_resid_f0.01,spatial_resid_f0.02,geom_resid_f0.01,geom_resid_f0.02,noncross_marginal_f0.01,noncross_marginal_f0.02
taipei_taiwan__drive_10000m.pkl,ok,16388,24900,2282,3131,0.0916465863453815,0.1257429718875502,0.0502409638554216,1.0,2.4,Taipei,Taiwan,Asia,3.0388088845496704,0.431684610183596,0.6,0.1683153898164039,0.6581526104417671,-0.0883573346350989,0.0499999999999999,0.0499999999999999,0.0,-0.0083333333333333,-0.0499999999999999,-0.0583333333333332
toronto_canada__drive_10000m.pkl,ok,12443,18430,377,547,0.0204557786218122,0.0296798697775366,0.0166576234400434,1.0,1.6,Toronto,Canada,North America,2.962308125050229,0.4503249767873723,0.65,0.1996750232126277,0.6751492132392838,-0.0372498593586755,0.075,0.075,-0.0083333333333333,-0.0166666666666666,-0.0833333333333333,-0.0916666666666666
sydney_australia__drive_10000m.pkl,ok,22215,31013,1481,1832,0.0477541676071324,0.0590720020636507,0.0162834940186373,1.0,2.8,Sydney,Australia,Oceania,2.792077425163178,0.487296324811841,0.7,0.2127036751881589,0.7163125141069874,-0.0227729011928877,0.0749999999999999,0.0749999999999999,-0.0166666666666666,-0.0083333333333333,-0.0916666666666665,-0.0833333333333332
tel_aviv_israel__drive_10000m.pkl,ok,21205,30263,423,894,0.0139774642302481,0.0295410236922975,0.0101113571027327,1.0,2.5,Tel Aviv,Israel,Middle East,2.85432680971469,0.4704556407107436,0.675,0.2045443592892564,0.7006906122988468,-0.0366647017212921,0.075,0.075,-0.0083333333333333,-0.0166666666666666,-0.0833333333333333,-0.0916666666666665
vancouver_canada__drive_10000m.pkl,ok,14876,22751,336,523,0.0147685816008087,0.0229880005274493,0.0116917937673069,1.0,1.7,Vancouver,Canada,North America,3.058752352783006,0.4277066531310511,0.625,0.1972933468689489,0.6538613687310448,-0.0441398897553105,0.0749999999999999,0.0749999999999999,0.0,0.0083333333333333,-0.0749999999999999,-0.0666666666666665
vienna_austria__drive_10000m.pkl,ok,17629,26142,588,881,0.0224925407390406,0.0337005584882564,0.0262412975288807,1.0,2.1,Vienna,Austria,Europe,2.9657949968801405,0.4456985030858935,0.675,0.2293014969141065,0.6743554433478693,0.0009558114470473,0.075,0.075,3.353798720221827e-17,0.0166666666666666,-0.0749999999999999,-0.0583333333333333
warsaw_poland__drive_10000m.pkl,ok,17582,24341,744,1151,0.030565712172877,0.0472864713857277,0.021732878682059,1.0,2.1,Warsaw,Poland,Europe,2.76885451029462,0.4800796812749004,0.7,0.2199203187250994,0.7223203648165645,-0.030900921396883,0.0999999999999999,0.0999999999999999,0.0,0.0166666666666666,-0.0999999999999999,-0.0833333333333332
riyadh_saudi_arabia__drive_10000m.pkl,ok,52112,79423,1092,1948,0.0137491658587562,0.0245269002681842,0.0049355980005791,1.0,6.1,Riyadh,Saudi Arabia,Middle East,3.048165489714461,0.4665628855078422,0.675,0.2084371144921578,0.6561323546076074,0.0287558527786306,0.1,0.1,0.0,0.0,-0.1,-0.1
sao_paulo_brazil__drive_10000m.pkl,ok,51289,77333,1314,2476,0.0169914525493644,0.0320173793852559,0.0085733128160035,1.0,6.0,Sao Paulo,Brazil,Latin America,3.0155783891282733,0.4525467568643056,0.675,0.2224532431356944,0.6632226863046823,0.0177577063307923,0.1,0.1,0.025,0.025,-0.075,-0.075
santiago_chile__drive_10000m.pkl,ok,60718,88302,1095,2027,0.0124006251274036,0.0229553124504541,0.0068288373989264,1.0,6.6,Santiago,Chile,Latin America,2.90859382720116,0.4543405779204741,0.65,0.1956594220795258,0.6876174945074855,-0.054707006159623,0.0999999999999999,0.0999999999999999,0.0,0.0,-0.0999999999999999,-0.0999999999999999
