predictor,phi_left,phi_right,unsafe,conservative
junction,0.37669157683943866,0.3770041006205245,0.36619718309859156,0.0
junction,0.3770041006205245,0.3774738628835461,0.352112676056338,0.0
junction,0.3774738628835461,0.37749999999999995,0.3380281690140845,0.0
junction,0.37749999999999995,0.3780879629643564,0.352112676056338,0.0
junction,0.3780879629643564,0.37833368148551494,0.3380281690140845,0.0
junction,0.37833368148551494,0.3783523553586128,0.323943661971831,0.0
junction,0.3783523553586128,0.3785023906027708,0.30985915492957744,0.0
junction,0.3785023906027708,0.38,0.29577464788732394,0.0
junction,0.38,0.38006212095660674,0.30985915492957744,0.0
junction,0.38006212095660674,0.38089793940203975,0.29577464788732394,0.0
junction,0.38089793940203975,0.38099543279432646,0.28169014084507044,0.0
junction,0.38099543279432646,0.38148203839618233,0.2676056338028169,0.0
junction,0.38148203839618233,0.3817838006406832,0.2535211267605634,0.0
junction,0.3817838006406832,0.3822254104925461,0.23943661971830985,0.0
junction,0.3822254104925461,0.38249999999999995,0.22535211267605634,0.0
junction,0.38249999999999995,0.3832419001166534,0.23943661971830985,0.0
junction,0.3832419001166534,0.38398689544109177,0.22535211267605634,0.0
junction,0.38398689544109177,0.385,0.2112676056338028,0.0
junction,0.385,0.38699373161545614,0.22535211267605634,0.0
junction,0.38699373161545614,0.38742954710903177,0.2112676056338028,0.0
junction,0.38742954710903177,0.38799739616021756,0.19718309859154928,0.0
junction,0.38799739616021756,0.3881767920779178,0.18309859154929578,0.0
junction,0.3881767920779178,0.3885848365017378,0.16901408450704225,0.0
junction,0.3885848365017378,0.388860127701675,0.15492957746478872,0.0
junction,0.388860127701675,0.3895638387285578,0.14084507042253522,0.0
junction,0.3895638387285578,0.39,0.1267605633802817,0.0
junction,0.39,0.3906485374923774,0.14084507042253522,0.0
junction,0.3906485374923774,0.3914517138826884,0.1267605633802817,0.0
junction,0.3914517138826884,0.3916022299528801,0.11267605633802817,0.0
junction,0.3916022299528801,0.3916370151830446,0.09859154929577464,0.0
junction,0.3916370151830446,0.395,0.08450704225352113,0.0
junction,0.395,0.3961670933840491,0.09859154929577464,0.0
junction,0.3961670933840491,0.39749999999999996,0.08450704225352113,0.0
