domain,instance,system_id,n_nodes,n_edges,mean_degree,pc_cebh,pc_dimension,pc_junction_anchor,pc,pc_low,pc_high,point_endpoint,bootstrap_endpoint_count,p_step,n_orders,n_bootstrap,mean_curve_p0,mean_curve_p1,exact_endpoint_slope,largest_component_bridges,method_version,input_hash,kind,replicate,n_swaps,degree_sequence_exact,realization_hash,seed
road,Lisbon,Lisbon,26686,36745,2.7538784381323542,0.4955161486076462,0.7262484691794802,0.63267552802825,0.52,0.5175,0.5225,False,0,0.0025,256,1000,3.747283219665742e-05,0.9916060855879484,0.1821929101401483,4246,canonical_v2_exact_endpoint,488bc6782067aa70f97242af41f9389b8b68e3725d7fcf1e2633d3e5eae2343f,degree,3,73490,True,ad8c2fa7a0b62468c938a1ee362f634544673b6ea25573624cb7ab7cc06fae7a,20285166
road,London,London,48353,62602,2.589373978863773,0.5199847165924646,0.772387463659308,0.6354558633895055,0.54,0.5375,0.5425,False,0,0.0025,256,1000,2.068124004715322e-05,0.9779537981097344,0.2801480776787376,11064,canonical_v2_exact_endpoint,8f49355676baa87af47d44e42bfbf0f77547d73bc9a1e8dfbc595d3458d54992,degree,0,125204,True,423ce517cbe7ecf1f21f340dc1480550faaa81ff39cdc48960bbdb0e42fb0fdb,20285126
road,London,London,48353,62602,2.589373978863773,0.5199847165924646,0.772387463659308,0.6354558633895055,0.54,0.5375,0.545,False,0,0.0025,256,1000,2.068124004715322e-05,0.9770231423076124,0.2784935784749653,10999,canonical_v2_exact_endpoint,8f49355676baa87af47d44e42bfbf0f77547d73bc9a1e8dfbc595d3458d54992,degree,1,125204,True,26f92fabc2216385fd7c2b071e0a8591189ba3f31bea801533488807dbc367b2,20285146
road,London,London,48353,62602,2.589373978863773,0.5199847165924646,0.772387463659308,0.6354558633895055,0.545,0.535,0.545,False,0,0.0025,256,1000,2.068124004715322e-05,0.9773954046284618,0.2809753272806237,11071,canonical_v2_exact_endpoint,8f49355676baa87af47d44e42bfbf0f77547d73bc9a1e8dfbc595d3458d54992,degree,2,125204,True,b835804659cb3ada89646a96cf3ee4da124ec23a1558b0f967838b756a834071,20285166
road,London,London,48353,62602,2.589373978863773,0.5199847165924646,0.772387463659308,0.6354558633895055,0.54,0.5375,0.55,False,0,0.0025,256,1000,2.068124004715322e-05,0.9781606105102064,0.2811200959609538,11065,canonical_v2_exact_endpoint,8f49355676baa87af47d44e42bfbf0f77547d73bc9a1e8dfbc595d3458d54992,degree,3,125204,True,623e82a7067cce59429c686decc196c3b3b833a5f8120e33212d3445e538a512,20285186
road,Los Angeles,Los Angeles,22280,34611,3.106912028725314,0.4249303262083952,0.6437259830689666,0.5965189729036939,0.455,0.445,0.455,False,0,0.0025,256,1000,4.488330341113108e-05,0.9972172351885096,0.1060143626570915,2246,canonical_v2_exact_endpoint,219b208ac41716e10e50a12f340935f4a88b22a4a28fb7b189651f09e882a4de,degree,0,69222,True,bd99c4148b366629a01ba3ed7e13936635021ca8b22ed1af94397fc2063d3f15,20295750
road,Los Angeles,Los Angeles,22280,34611,3.106912028725314,0.4249303262083952,0.6437259830689666,0.5965189729036939,0.45,0.445,0.45,False,0,0.0025,256,1000,4.488330341113108e-05,0.9977109515260326,0.1082136445242369,2268,canonical_v2_exact_endpoint,219b208ac41716e10e50a12f340935f4a88b22a4a28fb7b189651f09e882a4de,degree,1,69222,True,75a19ae8c60f7a11583b66603cd97e778ee5d477dfe455e50e4a08c8bd9bf3c6,20295775
road,Los Angeles,Los Angeles,22280,34611,3.106912028725314,0.4249303262083952,0.6437259830689666,0.5965189729036939,0.45,0.445,0.4525,False,0,0.0025,256,1000,4.488330341113108e-05,0.99640933572711,0.1061041292639138,2233,canonical_v2_exact_endpoint,219b208ac41716e10e50a12f340935f4a88b22a4a28fb7b189651f09e882a4de,degree,2,69222,True,7d1a86584e0e38678952d7a6cc2a1a3e4b21b0bac7e2e01a2c2b86c000b05b83,20295800
road,Los Angeles,Los Angeles,22280,34611,3.106912028725314,0.4249303262083952,0.6437259830689666,0.5965189729036939,0.45,0.45,0.4525,False,0,0.0025,256,1000,4.488330341113108e-05,0.9969030520646316,0.1050269299820466,2233,canonical_v2_exact_endpoint,219b208ac41716e10e50a12f340935f4a88b22a4a28fb7b189651f09e882a4de,degree,3,69222,True,92d3f12fa05a4a563bea070d49b06af4ec920ddd102fb91dfc0743b8011b4846,20295825
road,Manila,Manila,25142,36895,2.934929599872723,0.4492979529208324,0.6814473505895108,0.6085482861173116,0.4725,0.47,0.4775,False,0,0.0025,256,1000,3.977408320738208e-05,0.9922440537745608,0.1551984726752048,3608,canonical_v2_exact_endpoint,7645e8072f89f7935b5e2be2cde714a704cf2c1665b04dda8aaa69a16c1ce922,degree,0,73790,True,1c5e9ea3f9898adb4130e4d069f485296d6328f500e071878efbc501e6cf6008,20284906
road,Manila,Manila,25142,36895,2.934929599872723,0.4492979529208324,0.6814473505895108,0.6085482861173116,0.47,0.47,0.475,False,0,0.0025,256,1000,3.977408320738208e-05,0.9933975021875748,0.1569485323363296,3643,canonical_v2_exact_endpoint,7645e8072f89f7935b5e2be2cde714a704cf2c1665b04dda8aaa69a16c1ce922,degree,1,73790,True,5642630e5c01199841cd84e5b96c506422fa7d673cca5962aa7b159b2b5bc908,20284926
road,Manila,Manila,25142,36895,2.934929599872723,0.4492979529208324,0.6814473505895108,0.6085482861173116,0.4725,0.47,0.475,False,0,0.0025,256,1000,3.977408320738208e-05,0.9915678943600348,0.1546416355103015,3597,canonical_v2_exact_endpoint,7645e8072f89f7935b5e2be2cde714a704cf2c1665b04dda8aaa69a16c1ce922,degree,2,73790,True,49a3e62913c972849b9546299be920ecd286a781dcf3658135119d760853dd52,20284946
road,Manila,Manila,25142,36895,2.934929599872723,0.4492979529208324,0.6814473505895108,0.6085482861173116,0.4725,0.4675,0.475,False,0,0.0025,256,1000,3.977408320738208e-05,0.992283827857768,0.1562723729218041,3620,canonical_v2_exact_endpoint,7645e8072f89f7935b5e2be2cde714a704cf2c1665b04dda8aaa69a16c1ce922,degree,3,73790,True,40e0809288a1f537ef06061466cb51d9ffa42a3184527aa3e83b8311fc08fd18,20284966
road,Melbourne,Melbourne,35052,51621,2.9453954125299555,0.4686087256486138,0.6790259777997326,0.6267534266124408,0.4875,0.4875,0.495,False,0,0.0025,256,1000,2.852904256533149e-05,0.996633572977291,0.1008786945110122,3305,canonical_v2_exact_endpoint,b1949e34636d16072868fc476e33eed55b5af66885f7558fdf14b8a00254fe6f,degree,0,103242,True,6bdedd3cfb456407f9a6f59da7c9048f843b1eb0f95e8d3fe369be40afed281d,20291669
