city,country,macro_region,n_nodes,n_edges,rho_nb,pc_nb,road_minus_nb,ipr_directed,top1_directed_weight_share,top5pct_directed_weight_share,node_nb_entropy,node_nb_ipr,top1_node_weight_share,top5pct_node_weight_share,dead_end_share,cycle_density,degree4plus_share,orientation_entropy
Ho Chi Minh City,Vietnam,Asia,40466,51958,2.921962328782492,0.3422357605878768,0.3827642394121231,0.0060565400655971,0.0137547727903208,0.9996528367189418,0.4311717490174206,0.0196550261369294,0.0447008725986876,0.9997388967870054,0.2707458112983739,0.2840162111402164,0.1247467009341175,0.995340511512726
Paris,France,Europe,36946,55181,2.793369439533972,0.3579905993984217,0.2920094006015782,0.0053355306261046,0.012114078818417,0.9994811826864154,0.4315539548754866,0.01788629717212,0.03898459022525,0.9994915460863544,0.0921344665187029,0.4935852325014886,0.1949602122015915,0.9987429057767454
Casablanca,Morocco,Africa,36942,55764,2.723335957695081,0.3671967085714825,0.3078032914285175,0.0049649739263783,0.011915428742945,0.9992255122151372,0.4582299153140148,0.0151538753476286,0.0363859487732645,0.999102547285016,0.0684045260137512,0.509528450002707,0.1714038222077852,0.944477402514563
Chennai,India,Asia,42444,56880,2.5099270380099115,0.3984179559230881,0.3265820440769119,0.0027362071047289,0.0059030615859564,0.9999593972336228,0.4821155780508783,0.0084640757372723,0.0184344964994738,0.9999603519002505,0.2115257751390067,0.3401423051550278,0.1156582791442842,0.835275051130897
Bogota,Colombia,Latin America,40772,60476,2.779958636759647,0.3597175824046116,0.2902824175953884,0.0012127915722796,0.0025562947063789,0.9996480338719538,0.5452083858415736,0.0043002292930084,0.0093575074193898,0.9997195490648216,0.1272932404591386,0.4832973609339743,0.231972922593937,0.9679684786572128
London,United Kingdom,Europe,48353,62602,2.5856342819483964,0.3867522978719377,0.3882477021280623,0.0162059620730188,0.0258155556162248,0.999999075685533,0.3111168477401008,0.0487567977507078,0.0774536251103152,0.9999984915063732,0.2249084855127913,0.2947076706719335,0.0824561040679999,0.9878642663018896
Jakarta,Indonesia,Asia,50166,65445,2.5917150797734423,0.3858448823346029,0.314155117665397,0.0033824558867043,0.0060271328205352,0.9999680410300684,0.4402793432124228,0.0111599424778611,0.0202968174706554,0.99996866619772,0.2342024478730614,0.3045887652992066,0.0923533867559701,0.9275471687729926
Tunis,Tunisia,Africa,46721,67495,2.633648550447927,0.3797013841614978,0.3202986158385021,0.0027853457910312,0.0053135416541121,0.9999461585831813,0.47353372239955,0.0089104585439629,0.0182620447363109,0.9999402740928884,0.1074891376468825,0.4446608591425697,0.1199888701012392,0.9532925921698122
Bangkok,Thailand,Asia,63366,71694,2.6303399651598216,0.3801789933033387,0.4698210066966612,0.0084575678561537,0.0150997780598251,0.999947194182987,0.3664905430288386,0.0264436002213922,0.045121925658058,0.9999574489784178,0.3948647539690054,0.1314427295395006,0.0665498847962629,0.9933200450636754
Addis Ababa,Ethiopia,Africa,51078,72263,2.7842505448225903,0.3591630795797219,0.3408369204202781,0.0020632836644064,0.0036698444391276,0.9999999876842413,0.4820912380073035,0.0072695939812542,0.0131595079249774,0.9999999712308578,0.1451309761541172,0.4147773992717021,0.1283135596538627,0.9933486376069782
Istanbul,Turkey,Middle East,48682,72909,2.6130111946807086,0.3827002356651567,0.2922997643348433,0.0035576620871565,0.0084101666338665,0.9998691389115671,0.4654441423982914,0.011279025356248,0.0266413157371031,0.9998615610856328,0.0792284622653136,0.497678813524506,0.1660572696273776,0.999129827160926
